title,milestone,labels,body_file,phase
"EPIC: M0 Requirements, Benchmarks & Risk Gates","M0 Requirements, Benchmarks & Risk Gates","type:epic,phase:m0",issue-bodies/epic-m0-requirements-benchmarks-risk-gates.md,M0
EPIC: M1 Core Inference Service,M1 Core Inference Service,"type:epic,phase:m1",issue-bodies/epic-m1-core-inference-service.md,M1
EPIC: M2 TTS Pipeline,M2 TTS Pipeline,"type:epic,phase:m2",issue-bodies/epic-m2-tts-pipeline.md,M2
EPIC: M3 Audio Outputs & Transport,M3 Audio Outputs & Transport,"type:epic,phase:m3",issue-bodies/epic-m3-audio-outputs-transport.md,M3
EPIC: M4 App Adapters,M4 App Adapters,"type:epic,phase:m4",issue-bodies/epic-m4-app-adapters.md,M4
"EPIC: M5 UI, Metrics & Observability","M5 UI, Metrics & Observability","type:epic,phase:m5",issue-bodies/epic-m5-ui-metrics-observability.md,M5
"EPIC: M6 Security, Abuse Resistance & Privacy","M6 Security, Abuse Resistance & Privacy","type:epic,phase:m6",issue-bodies/epic-m6-security-abuse-resistance-privacy.md,M6
"EPIC: M7 Packaging, Docs & Release","M7 Packaging, Docs & Release","type:epic,phase:m7",issue-bodies/epic-m7-packaging-docs-release.md,M7
Define generic Gemma+TTS use cases and non-goals,"M0 Requirements, Benchmarks & Risk Gates","phase:m0,area:architecture,priority:p0",issue-bodies/define-generic-gemma-tts-use-cases-and-non-goals.md,M0
Benchmark Gemma E2B/E4B through llama.cpp server,"M0 Requirements, Benchmarks & Risk Gates","phase:m0,area:llm,type:research,risk:performance,priority:p0",issue-bodies/benchmark-gemma-e2b-e4b-through-llama-cpp-server.md,M0
"Benchmark Kokoro, Piper, and optional KittenTTS","M0 Requirements, Benchmarks & Risk Gates","phase:m0,area:tts,type:research,risk:performance,priority:p0",issue-bodies/benchmark-kokoro-piper-and-optional-kittentts.md,M0
Write SECURITY_MODEL.md,"M0 Requirements, Benchmarks & Risk Gates","phase:m0,area:security,risk:security,priority:p0",issue-bodies/write-security-model-md.md,M0
Choose default architecture: Python FastAPI orchestrator + llama.cpp + Kokoro,"M0 Requirements, Benchmarks & Risk Gates","phase:m0,area:architecture,priority:p1",issue-bodies/choose-default-architecture-python-fastapi-orchestrator-llama-cpp-kokoro.md,M0
Scaffold Python service with typed config and health endpoints,M1 Core Inference Service,"phase:m1,area:backend,priority:p0",issue-bodies/scaffold-python-service-with-typed-config-and-health-endpoints.md,M1
